,test_data,test_class,predict_class,predict_prob
0,"['AWS', '都', '有', '哪些', '应用', '安全', '产品']",A2207,A2207,0.9887155669978946
1,"['把', 'AWS', '数据', '数据库', '据库', '产品', '的', '资料', '文件', '发到', '我', '邮箱']",A2202,A2202,0.9995043729706972
2,"['亚马', '亚马逊', '云', '科技', '都', '有', '什么', '云', '服务', '服务器', '务器', '产品']",A2201,A2201,0.9988175440898264
3,"['亚马', '亚马逊', '云', '科技', '有没有', '没有', '有人', '人工', '人工智能', '智能', '产品']",A2205,A2205,0.9984877312106536
4,"['把', 'AWS', '热门', '的', '云', '服务', '服务器', '务器', '产品', '资料', '发', '我', '邮件']",A2201,A2201,0.9139621384902193
5,"['我', '想要', '网络', '网络产品', '产品', '的', '资料']",A2202,A2204,0.889187371925835
6,"['把', 'AWS', '云', '网络', '网络产品', '产品', '的', '资料', '文件', '发到', '我', '邮箱']",A2204,A2204,0.9522567218396336
7,"['你们', '公司', '有', '计算', '产品', '吗']",A2201,A2201,0.9068931891234339
8,"['给', '我', '讲讲', '你们', '公司', '的', '网络', '网络产品', '产品']",A2204,A2204,0.9193991646027855
9,"['有没有', '没有', '什么', '最新', '的', '产品', '，', '介绍', '一下']",A2200,A2200,0.8022159463312033
10,"['我', '想', '了解', '一下', 'AWS', '的', '游戏', '技术', '产品']",A2206,A2206,0.9781386237910625
11,"['你们', '公司', '都', '有', '哪些', '云', '主机', '产品']",A2201,A2201,0.961876587370524
12,"['亚马', '亚马逊', '云', '科技', '有数', '数据', '数据安全', '安全', '产品', '吗']",A2207,A2207,0.9928624863584793
13,"['AWS', '都', '有', '什么', '数据', '数据库', '据库', '产品']",A2202,A2202,0.9896385390718448
14,"['你们', '公司', '都', '提供', '哪些', 'AI', '产品']",A2205,A2205,0.8041941094554811
15,"['亚马', '亚马逊', '云', '科技', '都', '有', '哪些', '人工', '人工智能', '智能', '产品']",A2205,A2205,0.9965401393031526
16,"['把', '亚马', '亚马逊', '云', '科技', '云', '网络', '网络产品', '产品', '的', '文档', '文档资料', '资料', '发', '我', '邮件']",A2204,A2204,0.8910901134090122
17,"['AWS', '有没有', '没有', '计算', '产品']",A2201,A2201,0.8429471464168793
18,"['我', '想要', '机器', '学习', '产品', '的', '资料']",A2205,A2205,0.9716476779197678
19,"['把', 'AWS', '热门', '的', '存储', '产品', '资料', '发', '我', '邮件']",A2203,A2203,0.8440287723966239
20,"['把', '亚马', '亚马逊', '云', '科技', '机器', '学习', '产品', '的', '文档', '文档资料', '资料', '发', '我', '邮件']",A2205,A2205,0.87855520419491
21,"['可以', '把', '数据', '数据库', '据库', '产品', '的', '文档', '发', '我', '邮箱', '吗']",A2202,A2202,0.9998932962088698
22,"['AWS', '都', '有', '哪些', '机器', '学习', '产品']",A2205,A2205,0.9941344195780538
23,"['亚马', '亚马逊', '云', '科技', '都', '提供', '什么', '存储', '产品']",A2203,A2203,0.4578186517098468
24,"['把', '亚马', '亚马逊', '云', '科技', '游戏', '技术', '产品', '的', '说明', '资料', '发到', '我', '邮箱']",A2206,A2206,0.9545171079732885
25,"['AWS', '有没有', '没有', '有数', '数据', '数据库', '据库', '产品']",A2202,A2202,0.9985768553929082
26,"['把', 'AWS', '云', '服务', '服务器', '务器', '产品', '的', '说明', '资料', '发', '我', '一下']",A2201,A2201,0.9632678372213574
27,"['亚马', '亚马逊', '云', '科技', '都', '有', '什么', '数据', '数据库', '据库', '产品']",A2202,A2202,0.9769200701052179
28,"['有', 'SageMaker', '产品', '的', 'PDF', '文档', '吗']",A2200,A2200,0.3654908333436631
29,"['亚马', '亚马逊', '云', '科技', '都', '提供', '什么', '机器', '学习', '产品']",A2205,A2205,0.9915757937236597
30,"['你们', '公司', '都', '提供', '哪些', '数据', '数据保护', '保护', '护产', '产品']",A2207,A2207,0.9989638732306335
31,"['把', '亚马', '亚马逊', '云', '科技', '游戏', '技术', '产品', '的', '说明', '发', '我', '邮件']",A2206,A2206,0.979962134451888
32,"['你们', '公司', '都', '有', '哪些', '安全', '管理', '产品']",A2207,A2207,0.9961512165371303
33,"['能', '提供', 'AWS', '', '', 'S3', '的', '产品', '资料', '吗']",A2200,A2200,0.9055934301019919
34,"['我', '想', '了解', '一下', 'AWS', '的', '安全', '保护', '护产', '产品']",A2207,A2207,0.9986900494596164
35,"['把', '亚马', '亚马逊', '云', '科技', '最新', '的', '计算', '产品', '文档', '发', '我', '一下']",A2201,A2200,0.35443006090285906
36,"['把', '亚马', '亚马逊', '云', '科技', '游戏', '技术', '产品', '的', '文档', '发到', '我', '邮箱']",A2206,A2206,0.9691312567562661
37,"['你们', '公司', '有没有', '没有', '有人', '人工', '人工智能', '智能', '产品']",A2205,A2205,0.9995943252900391
38,"['你们', '公司', '有没有', '没有', '应用', '安全', '产品']",A2207,A2207,0.9913602062317395
39,"['AWS', '有数', '数据', '数据库', '据库', '产品', '吗']",A2202,A2202,0.9997606305815341
40,"['AWS', '有', '网络', '网络产品', '产品', '吗']",A2204,A2204,0.9764272618308242
41,"['亚马', '亚马逊', '云', '科技', '都', '提供', '什么', '安全', '保护', '护产', '产品']",A2207,A2207,0.999087732781349
42,"['把', '亚马', '亚马逊', '云', '科技', '计算', '产品', '的', '文档', '文档资料', '资料', '发', '我', '邮件']",A2201,A2203,0.4481178162427614
43,"['亚马', '亚马逊', '云', '科技', '有没有', '没有', '云', '服务', '服务器', '务器', '产品']",A2201,A2201,0.9965531687252319
44,"['AWS', '有', '云安', '安全', '产品', '吗']",A2207,A2207,0.9894235686956784
45,"['你们', '公司', '都', '有', '什么', '身份', '管理', '产品']",A2207,A2207,0.9806433555247929
46,"['把', '亚马', '亚马逊', '云', '科技', '最新', '的', '数据', '数据库', '据库', '产品', '文档', '发', '我', '一下']",A2202,A2202,0.9986763549051395
47,"['AWS', '都', '提供', '什么', '产品']",A2200,A2200,0.32939881671086557
48,"['跟', '我', '说', '说', 'AWS', '的', '网络', '网络产品', '产品']",A2204,A2204,0.9728171840702923
