,test_data,test_class,predict_class,predict_prob
0,"['介绍', '一下', 'AWS', '程序', '程序开发', '开发', '的', '解决', '解决方案', '方案']",A2301,A2301,0.9977723368520748
1,"['把', '亚马', '亚马逊', '云', '科技', '技术', '解决', '解决方案', '方案', '的', '说明', '资料', '发到', '我', '邮箱']",A2301,A2300,0.9708381802150683
2,"['把', '亚马', '亚马逊', '云', '科技', '技术', '解决', '解决方案', '方案', '的', '文档', '发给', '我']",A2301,A2300,0.8010203775170202
3,"['把', '亚马', '亚马逊', '云', '科技', '行业', '解决', '解决方案', '方案', '的', '文档', '发到', '我', '邮箱']",A2302,A2302,0.7416706048839529
4,"['你们', '公司', '有', '现代', '应用', '开发', '的', '解决', '解决方案', '方案', '吗']",A2301,A2301,0.998943055866315
5,"['把', 'AWS', '行业', '解决', '解决方案', '方案', '的', '资料', '文件', '发', '我', '一下']",A2302,A2300,0.6918953341144909
6,"['AWS', '都', '提供', '什么', '制造', '行业', '解决', '解决方案', '方案']",A2302,A2302,0.9966190324089667
7,"['跟', '我', '说', '说', 'AWS', '企业', '上', '云', '的', '解决', '解决方案', '方案']",A2301,A2301,0.9095219331756226
8,"['亚马', '亚马逊', '云', '科技', '都', '有', '什么', '营销', '销行', '行业', '的', '解决', '解决方案', '方案']",A2302,A2302,0.9997093362771406
9,"['你们', '公司', '都', '有', '哪些', '数据', '数据分析', '分析', '现代', '现代化', '的', '解决', '解决方案', '方案']",A2301,A2301,0.999879523767133
10,"['亚马', '亚马逊', '云', '科技', '有', '迁移', '上', '云', '的', '解决', '解决方案', '方案', '吗']",A2301,A2301,0.9963417230449255
11,"['给', '我', '讲讲', 'AWS', '程序', '程序开发', '开发', '的', '解决', '解决方案', '方案']",A2301,A2301,0.9920956373426018
12,"['我', '想', '了解', '一下', 'AWS', '的', '解决', '解决方案', '方案']",A2300,A2301,0.5939774219162446
13,"['AWS', '都', '有', '哪些', '数据', '数据分析', '分析', '现代', '现代化', '的', '解决', '解决方案', '方案']",A2301,A2301,0.9998484049436617
14,"['AWS', '有没有', '没有', '现代', '应用', '开发', '的', '解决', '解决方案', '方案']",A2301,A2301,0.9991821169045288
15,"['给', '我', '讲讲', 'AWS', '的', '行业', '解决', '解决方案', '方案']",A2302,A2302,0.4987887065304637
16,"['给', '我', '讲讲', 'AWS', '的', '数据', '数据库', '据库', '解决', '解决方案', '方案']",A2301,A2301,0.8709656210009782
17,"['把', 'AWS', '技术', '解决', '解决方案', '方案', '的', '资料', '文件', '发到', '我', '邮箱']",A2301,A2300,0.9932504853465389
18,"['你们', '公司', '都', '有', '什么', '数据', '数据分析', '分析', '现代', '现代化', '的', '解决', '解决方案', '方案']",A2301,A2301,0.9999395744349837
19,"['AWS', '有', '什么', '针对', '不同', '同组', '组织', '织机', '机构', '的', '解决', '解决方案', '方案']",A2303,A2303,0.9961717592127988
20,"['你们', '公司', '都', '有', '哪些', '行业', '解决', '解决方案', '方案']",A2302,A2302,0.9851609231875207
21,"['给', '我', '讲讲', 'AWS', '现代', '应用', '开发', '的', '解决', '解决方案', '方案']",A2301,A2301,0.9858615515558218
22,"['AWS', '有数', '数据', '数据分析', '分析', '现代', '现代化', '的', '解决', '解决方案', '方案', '吗']",A2301,A2301,0.9999327179521396
23,"['AWS', '有', '什么', '热门', '的', '企业', '解决', '解决方案', '方案']",A2300,A2301,0.8402352289989464
24,"['AWS', '有', '什么', '行业', '解决', '解决方案', '方案']",A2302,A2302,0.9696630618066595
