,test_data,test_class,predict_class,predict_prob
0,"['你们', '公司', '前', '两周', '有用', '手机', '就', '可以', '观看', '的', '研讨', '研讨会', '吗']",A2402,A2402,0.9992537585929679
1,"['明天', '天上', '上海', '的', '活动', '，', '给', '我', '报', '一下', '名']",A2401,A2401,0.9999618251539624
2,"['你们', '公司', '上个', '上个星期', '星期', '有', '现场', '讲座', '吗']",A2402,A2402,0.9997983656650348
3,"['我', '能', '报名', 'AWS', '的', '研讨', '研讨会', '吗']",A2401,A2401,0.9922620184735081
4,"['11', '月', '5', '号', '的', '会议', '是', '说', '电商', '那块', '的', '吗']",A2401,A2401,0.999999999755147
5,"['你们', '公司', '上', '两个', '星期', '有', '哪些', '讲座']",A2402,A2402,0.9958760130434937
6,"['你们', '公司', '上', '两', '星期', '有用', '用电', '电脑', '、', '手机', '就', '可以', '观看', '的', '活动', '吗']",A2402,A2402,0.9921123221317316
7,"['你们', '公司', '上', '两周', '在', '福州', '有', '什么', '活动']",A2402,A2402,0.9488884248361518
8,"['前', '两', '星期', '有', '什么', '活动']",A2402,A2402,0.9946413631319401
9,"['你们', '公司', '下周', '有', '哪些', '峰会']",A2401,A2402,0.6729888349338741
10,"['我', '可以', '报名', 'AWS', '的', '会议', '吗']",A2401,A2401,0.9957780439621682
11,"['介绍', '一下', '今天', '的', '会议']",A2401,A2401,0.9991665922536427
12,"['你们', '公司', '这个', '星期', '有线', '上', '讲座', '吗']",A2401,A2402,0.9549633750421049
13,"['AWS', '最近', '近几天', '几天', '有', '哪些', '研讨', '研讨会']",A2401,A2401,0.9892519454557505
14,"['28', '号', '线下', '的', '会议', '是', '说', '汽车', '汽车行业', '车行', '行业', '的', '吗']",A2401,A2401,0.9999999955707608
15,"['亚马', '亚马逊', '云', '科技', '前', '两', '星期', '有', '什么', '活动']",A2402,A2402,0.9995319983547589
16,"['AWS', '上月', '有', '什么', '峰会']",A2402,A2402,0.9731945011059512
17,"['你们', '公司', '上星期', '星期', '有', '在线', '会议', '吗']",A2402,A2402,0.9941283886179958
18,"['星期', '星期四', '有', '什么', '活动']",A2401,A2401,0.5765533773003247
19,"['下星期', '星期', '星期二', '有', '什么', '会议']",A2401,A2401,0.8895441780097253
20,"['28', '号', '线下', '的', '会议', '是', '关于', '什么', '的', '内容']",A2401,A2401,0.9999999709493186
21,"['星期', '星期日', '期日', '有', '什么', '会议']",A2401,A2401,0.5016629914391431
22,"['亚马', '亚马逊', '云', '科技', '最近', '两周', '有线', '线下', '研讨', '研讨会', '吗']",A2401,A2402,0.9051326246381612
23,"['你们', '公司', '下个星期', '星期', '有', '哪些', '在线', '峰会']",A2401,A2402,0.9253494630326278
24,"['介绍', '一下', '今天', '天线', '上', '的', '会议', '内容']",A2401,A2401,0.9998916683446344
25,"['把', '9', '月', '28', '号', '线', '上', '活动', '的', '内容', '发到', '我', '手机', '机上']",A2401,A2401,0.999999990906332
26,"['你们', '公司', '今天', '有', '会议', '吗']",A2401,A2401,0.6791478400814722
27,"['把', '上周', '活动', '信息', '发', '我', '邮箱']",A2402,A2402,0.8035681776604903
28,"['11', '月', '5', '号', '的', '活动', '是', '关于', '电商', '这', '一块', '的', '吗']",A2401,A2401,0.9999999999945146
29,"['AWS', '最近', '有数', '数据', '数据分析', '分析', '相关', '的', '活动', '没']",A2401,A2401,0.9983186824758751
