,test_data,test_class,predict_class,predict_prob
0,"['AWS', '的', '中文', '中文名', '文名', '名字', '是', '什么']",A2101,A2101,0.9889839323860508
1,"['AWS', '做', '什么', '业务']",A2101,A2101,0.9925696271570464
2,"['AWS', '公司', '公司总部', '总部', '在', '哪儿']",A2102,A2102,0.9974856928231347
3,"['AWS', '公司', '在', '什么', '地方']",A2102,A2102,0.9786214385410427
4,"['你们', '公司', '热线', '热线电话', '电话', '多少']",A2102,A2102,0.9999481989311437
5,"['AWS', '官', '网']",A2102,A2102,0.8693593889560736
6,"['AWS', '中国', '总部', '在', '上海', '吗']",A2102,A2102,0.9944297682746996
7,"['亚马', '亚马逊', '云', '科技', '做', '干什么', '什么', '的']",A2101,A2101,0.9994577984849856
8,"['AWS', '公司', '电话', '是', '多少']",A2102,A2102,0.9964119988917347
9,"['我', '没听说过', '听说', '过', '亚马', '亚马逊', '云', '科技']",A2101,A2101,0.9414345695587389
